Conversation ID,Profile,Duration (s),Status,Questions
chat_20251016_150202_batch_104,ppd_possible,62.58,completed,10
chat_20251016_150304_batch_105,ppd_urgent,59.24,completed,10
chat_20251016_150404_batch_106,ppd_possible,64.82,completed,10
chat_20251016_150508_batch_107,ppd_low,52.52,completed,10
chat_20251016_150601_batch_108,ppd_probable,57.25,completed,10
chat_20251016_150658_batch_109,ppd_low,51.50,completed,10
chat_20251016_150750_batch_110,ppd_possible,60.37,completed,10
chat_20251016_150850_batch_111,ppd_possible,60.70,completed,10
chat_20251016_150951_batch_112,ppd_low,51.62,completed,10
chat_20251016_151042_batch_113,ppd_high,54.04,completed,10
chat_20251016_151137_batch_114,ppd_probable,54.06,completed,10
chat_20251016_151231_batch_115,ppd_urgent,57.49,completed,10
chat_20251016_151328_batch_116,ppd_high,52.97,completed,10
chat_20251016_151421_batch_117,ppd_high,56.36,completed,10
chat_20251016_151517_batch_118,ppd_low,61.11,completed,10
chat_20251016_151619_batch_119,ppd_probable,63.73,completed,10
chat_20251016_151722_batch_120,ppd_possible,58.31,completed,10
chat_20251016_151821_batch_121,ppd_urgent,56.23,completed,10
chat_20251016_151917_batch_122,ppd_high,50.60,completed,10
chat_20251016_152007_batch_123,ppd_low,57.66,completed,10
chat_20251016_152105_batch_124,ppd_possible,55.63,completed,10
chat_20251016_152201_batch_125,ppd_urgent,55.78,completed,10
chat_20251016_152257_batch_126,ppd_urgent,53.37,completed,10
chat_20251016_152350_batch_127,ppd_probable,53.79,completed,10
chat_20251016_152444_batch_128,ppd_urgent,55.55,completed,10
chat_20251016_152539_batch_129,ppd_high,54.41,completed,10
chat_20251016_152634_batch_130,ppd_probable,54.62,completed,10
chat_20251016_152728_batch_131,ppd_high,55.96,completed,10
chat_20251016_152824_batch_132,ppd_low,52.51,completed,10
chat_20251016_152917_batch_133,ppd_possible,58.17,completed,10
chat_20251016_153015_batch_134,ppd_urgent,57.29,completed,10
chat_20251016_153112_batch_135,ppd_high,77.44,completed,10
chat_20251016_153230_batch_136,ppd_possible,59.99,completed,10
chat_20251016_153330_batch_137,ppd_possible,61.75,completed,10
chat_20251016_153432_batch_138,ppd_urgent,55.75,completed,10
chat_20251016_153527_batch_139,ppd_low,52.82,completed,10
chat_20251016_153620_batch_140,ppd_probable,57.01,completed,10
chat_20251016_153717_batch_141,ppd_probable,54.97,completed,10
chat_20251016_153812_batch_142,ppd_probable,57.01,completed,10
chat_20251016_153909_batch_143,ppd_urgent,56.97,completed,10
chat_20251016_154006_batch_144,ppd_low,57.31,completed,10
chat_20251016_154104_batch_145,ppd_possible,53.13,completed,10
chat_20251016_154157_batch_146,ppd_low,51.70,completed,10
chat_20251016_154248_batch_147,ppd_high,55.94,completed,10
chat_20251016_154344_batch_148,ppd_high,55.10,completed,10
chat_20251016_154440_batch_149,ppd_low,61.30,completed,10
chat_20251016_154541_batch_150,ppd_high,56.95,completed,10
chat_20251016_154638_batch_151,ppd_high,56.42,completed,10
chat_20251016_154734_batch_152,ppd_high,55.40,completed,10
chat_20251016_154830_batch_153,ppd_urgent,55.88,completed,10
chat_20251016_154926_batch_154,ppd_high,57.11,completed,10
chat_20251016_155023_batch_155,ppd_possible,59.14,completed,10
chat_20251016_155122_batch_156,ppd_low,53.82,completed,10
chat_20251016_155216_batch_157,ppd_low,53.58,completed,10
chat_20251016_155309_batch_158,ppd_low,59.33,completed,10
chat_20251016_155409_batch_159,ppd_urgent,60.27,completed,10
chat_20251016_155509_batch_160,ppd_possible,58.54,completed,10
chat_20251016_155607_batch_161,ppd_high,54.08,completed,10
chat_20251016_155702_batch_162,ppd_probable,55.15,completed,10
chat_20251016_155757_batch_163,ppd_high,61.94,completed,10
